"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 03:28:59 UTC 2023","Fri Dec 29 03:29:10 UTC 2023","11185","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Dec 29 02:36:45 UTC 2023","Fri Dec 29 02:36:49 UTC 2023","3943","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 29 02:45:36 UTC 2023","Fri Dec 29 02:45:41 UTC 2023","4923","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Dec 29 02:28:02 UTC 2023","Fri Dec 29 02:28:18 UTC 2023","16040","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 29 03:34:52 UTC 2023","Fri Dec 29 03:34:54 UTC 2023","2539","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Dec 29 03:29:37 UTC 2023","Fri Dec 29 03:29:39 UTC 2023","1654","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Dec 29 02:33:04 UTC 2023","Fri Dec 29 02:33:12 UTC 2023","8530","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Dec 29 03:45:50 UTC 2023","Fri Dec 29 03:46:04 UTC 2023","13505","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Dec 29 03:39:30 UTC 2023","Fri Dec 29 03:43:45 UTC 2023","254719","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Dec 29 03:07:47 UTC 2023","Fri Dec 29 03:07:52 UTC 2023","4761","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Dec 29 02:48:04 UTC 2023","Fri Dec 29 02:49:11 UTC 2023","66744","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Dec 29 04:20:35 UTC 2023","Fri Dec 29 04:20:38 UTC 2023","2974","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Dec 29 04:08:55 UTC 2023","Fri Dec 29 04:09:05 UTC 2023","9227","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Dec 29 02:30:17 UTC 2023","Fri Dec 29 02:30:22 UTC 2023","4337","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Dec 29 03:29:15 UTC 2023","Fri Dec 29 03:29:37 UTC 2023","22023","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Dec 29 03:35:31 UTC 2023","Fri Dec 29 03:35:33 UTC 2023","1432","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Dec 29 02:45:52 UTC 2023","Fri Dec 29 02:45:56 UTC 2023","4582","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Dec 29 02:32:15 UTC 2023","Fri Dec 29 02:32:32 UTC 2023","16145","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Dec 29 04:08:41 UTC 2023","Fri Dec 29 04:08:55 UTC 2023","14696","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Dec 29 04:10:08 UTC 2023","Fri Dec 29 04:11:15 UTC 2023","67439","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Dec 29 02:34:40 UTC 2023","Fri Dec 29 02:34:40 UTC 2023","406","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Dec 29 02:32:40 UTC 2023","Fri Dec 29 02:32:44 UTC 2023","4180","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Dec 29 02:22:26 UTC 2023","Fri Dec 29 02:22:42 UTC 2023","15583","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Dec 29 02:22:16 UTC 2023","Fri Dec 29 02:22:26 UTC 2023","10246","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Dec 29 04:09:05 UTC 2023","Fri Dec 29 04:09:09 UTC 2023","4173","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Dec 29 02:43:03 UTC 2023","Fri Dec 29 02:43:07 UTC 2023","3799","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
